device,node,predict,real
cpu,carts,0.05139370480861219,0.4022345367525101
cpu,carts_db,0.5765284823652261,0.37608025835175773
cpu,catalogue,0.6514913167146036,0.31597853367242923
cpu,catalogue_db,0.6869882728553037,0.8628549604497842
cpu,front_end,0.44419068219716784,0.193920062379496
cpu,ip5,0.19255773391080594,0.4230337013469614
cpu,ip6,0.2934790974167118,0.25880585928634536
cpu,ip7,0.03799109621533136,-6.016133642352422
cpu,orders,0.05827785321660516,0.037250984321050645
cpu,orders_db,0.5331524427694796,0.8158895063057798
cpu,payment,0.5207799826088335,0.5294539724311065
cpu,queue_master,0.14392469078908118,0.12699825684061783
cpu,rabbitmq,0.6181988801858135,0.638812155888389
cpu,session_db,0.7448767341054433,0.7625220219357365
cpu,shipping,0.06206188977614817,0.4842660606530802
cpu,user,0.7092104969446584,0.8075453923057925
cpu,user_db,0.523394686000282,0.5964262944508336
mem,carts,0.7813266574698051,1.8660269557573983
mem,carts_db,0.4569781015678248,0.8677914110429441
mem,catalogue,0.7737527157045317,-7.608938547486034
mem,catalogue_db,0.22052266081883545,-64.26315789473665
mem,front_end,0.41090900275180264,0.062089352784555074
mem,ip5,0.17722583226766642,0.15136630564903042
mem,ip6,0.47353117741762335,1.6277120948960953
mem,ip7,0.13086433653980675,0.0996800266897182
mem,orders,0.8829146111012574,0.9571172378456136
mem,orders_db,0.6587298415743098,0.31969309462915163
mem,payment,0.45403930131003895,-12.620087336244545
mem,queue_master,0.14719650205721815,-62.345679012345954
mem,rabbitmq,0.15808682058687426,-28.18181818181813
mem,session_db,0.4408297720797754,1.0705128205128247
mem,shipping,0.7441420117363464,1.3793514544587566
mem,user,0.8135372837774665,-0.6241234221598875
mem,user_db,0.4108166315049096,-5.991561181434605
